Location,Tag_ID,Sex,Direction,movement,Presence,month,SST,SST_anomaly,cur_GSLA,anomaly_GSLA,cur_VCUR,anomaly_VCUR,lunar.illumination
Moreton Island,6393,M,North,Arrival,1,8,21.204553604125977,0.30904763671694013,0.03640761151909668,0.10962067441282194,-0.3852242282032796,-0.31201116530955436,0.19348722202295826
Moreton Island,6393,M,North,Arrival,0,2,26.07415199279785,-0.2594382051561688,0.03894373727962197,0.12047766527472734,-0.4305479660630005,-0.3490140380678951,0.9412885023919602
Moreton Island,6393,M,North,Arrival,0,9,20.915185928344727,-0.13073773949341572,-0.05934414658695716,0.02836433849774058,-0.48384325712916815,-0.3961347720444704,0.15093685303001542
Flat Rock,6393,M,South,Arrival,1,12,24.460535049438477,-0.2701981955609405,-0.00518822576850652,0.10023171280511634,-0.31526100635528564,-0.2098410677816628,0.03787574616565309
Flat Rock,6393,M,South,Arrival,0,9,21.970605850219727,0.7827299170218716,-0.08865762501955032,-0.00965011245090259,-0.5307250022888184,-0.4517174897201706,0.23440332771833544
Flat Rock,6393,M,South,Arrival,0,3,26.537988662719727,0.2930577861728949,0.10895273834466934,0.1768544748815128,-0.3651595413684845,-0.29725780483164105,0.16517885391618342
Coffs Harbour,6393,M,North,Arrival,1,6,21.34884262084961,0.21795687438748249,0.12497520446777344,0.1497416612452291,-0.12528039515018463,-0.10051393837272896,0.9835198904588724
Coffs Harbour,6393,M,North,Arrival,0,4,NA,NA,0.11292020976543428,0.17746028937305316,-0.08865762501955032,-0.02411754541193143,0.8507249280784955
Coffs Harbour,6393,M,North,Arrival,0,10,19.38332748413086,-0.8096011009101076,-0.03479163348674774,0.03191455262362637,-0.05584972351789474,0.01085646259247937,0.9070414669200206
Flat Rock,6393,M,North,Arrival,1,7,NA,NA,0.12039735913276672,0.16812032530355547,-0.3820975720882416,-0.3343746059174528,0.998837600906815
Flat Rock,6393,M,North,Arrival,0,3,25.477659225463867,-0.7672716510829645,0.09064135700464249,0.15854309354148594,-0.4660247564315796,-0.39812301989473614,0.0036354724795175097
Flat Rock,6393,M,North,Arrival,0,10,21.58175468444824,-0.6341557056161982,-0.05218744650483131,0.05159452119441603,-0.41597363352775574,-0.3121916658285084,0.9591801507130644
Coffs Harbour,6393,M,North,Arrival,1,6,NA,NA,0.18372422456741333,0.208490681344869,-0.2597164809703827,-0.23495002419292704,0.7572229861143562
Coffs Harbour,6393,M,North,Arrival,0,8,19.377527236938477,0.07041954357475788,-0.06454763561487198,-0.00264035676262784,-0.5064623951911926,-0.4445551163389485,3.0846407123030772e-6
Coffs Harbour,6393,M,North,Arrival,0,8,19.00469398498535,-0.3024137083783671,-0.00991866737604141,0.05198861147620272,-0.3218225836753845,-0.2599153048231404,0.5637463938486831
Flat Rock,6393,M,North,Arrival,1,7,20.623437881469727,-0.6611618384336815,0.03631757944822311,0.08404054561901185,-0.28886210918426514,-0.2411391430134764,0.7222103132253396
Flat Rock,6393,M,North,Arrival,0,6,NA,NA,0.07095661759376526,0.08447837348688732,0.07446630299091339,0.08798805888403545,6.830315278588683e-5
Flat Rock,6393,M,North,Arrival,0,9,21.905237197875977,0.7173612646781216,0.06668396294116974,0.14569147550981748,-0.11475134640932085,-0.03574383384067312,0.5139805381664914
